TradeDate,Open,High,Low,Close,Settlement,IntradayOpen,IntradayHigh,IntradayLow,IntradayClose
2021-06-24,662.50,662.50,644.50,651.00,652.00,650.00,657.00,644.50,651.00
2021-06-25,651.50,658.00,637.00,637.25,640.75,652.00,652.75,637.00,637.25
2021-06-28,640.25,659.25,639.25,649.50,651.50,650.25,659.25,648.00,649.50
2021-06-29,657.00,663.50,644.50,645.50,646.25,652.00,663.50,644.50,645.50
2021-06-30,645.50,681.00,632.25,680.25,679.50,642.00,681.00,632.25,680.25
2021-07-01,679.00,694.25,665.00,666.50,665.50,685.50,694.25,665.00,666.50
2021-07-02,667.00,673.00,648.25,651.25,652.75,666.00,668.00,648.25,651.25
2021-07-06,638.00,638.00,615.50,623.50,626.00,638.00,638.00,615.50,623.50
2021-07-07,623.25,634.25,618.00,623.75,622.25,628.00,629.25,618.00,623.75
2021-07-08,624.25,627.75,616.50,619.00,618.00,621.00,626.25,616.50,619.00
2021-07-09,619.75,620.75,609.50,615.00,615.00,618.00,619.50,609.50,615.00
2021-07-12,614.50,645.50,610.25,640.25,640.75,614.75,645.50,610.25,640.25
2021-07-13,640.50,644.75,630.50,635.00,633.75,634.50,644.75,630.50,635.00
2021-07-14,635.00,657.50,632.50,654.75,654.25,643.50,657.50,643.25,654.75
2021-07-15,653.75,673.50,651.25,672.00,672.00,656.50,673.50,653.25,672.00
2021-07-16,671.75,696.25,670.75,693.75,692.50,687.25,696.25,681.75,693.75
2021-07-19,702.75,709.50,694.25,700.50,697.75,701.75,707.50,694.25,700.50
2021-07-20,698.75,718.00,698.25,701.75,700.50,711.50,717.50,698.25,701.75
2021-07-21,701.00,712.00,700.00,710.75,710.75,706.75,712.00,700.00,710.75
2021-07-22,708.25,709.00,681.75,692.25,692.25,693.50,697.50,681.75,692.25
2021-07-23,688.00,696.75,677.50,679.00,684.00,690.50,696.75,677.50,679.00
2021-07-26,684.00,684.00,665.50,677.50,677.00,670.50,680.75,669.00,677.50
2021-07-27,680.25,690.00,671.75,674.25,674.50,681.75,690.00,672.75,674.25
2021-07-28,675.00,696.25,673.75,690.50,688.75,688.00,696.25,687.75,690.50
2021-07-29,689.75,706.75,689.00,705.25,705.25,693.75,706.75,693.75,705.25
2021-07-30,705.00,711.50,695.00,703.50,703.75,698.50,711.50,695.00,703.50
2021-08-02,704.00,731.75,704.00,731.00,729.50,716.75,731.75,716.75,731.00
2021-08-03,727.50,734.75,717.75,724.75,724.50,721.50,734.75,717.75,724.75
2021-08-04,724.25,738.75,714.50,716.75,717.25,728.25,738.75,714.50,716.75
2021-08-05,714.75,725.50,709.75,713.00,712.75,719.75,725.50,709.75,713.00
2021-08-06,712.75,724.75,709.25,720.75,719.00,717.00,724.75,714.25,720.75
2021-08-09,719.00,723.75,708.25,712.00,711.25,712.25,719.50,708.25,712.00
2021-08-10,711.00,730.00,708.50,727.50,727.00,717.00,730.00,715.25,727.50
2021-08-11,726.75,732.25,718.75,724.75,727.00,727.25,732.25,721.00,724.75
2021-08-12,724.00,762.00,723.00,751.00,753.50,729.25,762.00,727.25,751.00
2021-08-13,753.00,774.75,747.50,761.75,762.25,770.00,774.75,760.25,761.75
2021-08-16,762.50,770.25,757.75,761.00,775.00,764.50,769.75,757.75,761.00
2021-08-17,777.00,778.25,745.50,747.50,748.50,761.75,765.00,745.50,747.50
2021-08-18,747.50,754.50,735.25,749.50,751.25,752.50,754.50,746.50,749.50
2021-08-19,751.00,751.00,730.75,742.50,742.75,742.75,748.50,730.75,742.50
2021-08-20,742.50,747.75,723.50,729.25,728.25,740.00,743.50,723.50,729.25
2021-08-23,726.25,745.00,724.00,734.50,733.50,739.25,745.00,730.75,734.50
2021-08-24,737.00,737.50,724.75,732.25,732.25,729.00,737.00,724.75,732.25
2021-08-25,732.25,734.00,718.50,726.75,725.50,722.00,731.75,719.50,726.75
2021-08-26,727.25,741.00,723.25,740.75,739.25,732.75,741.00,731.25,740.75
2021-08-27,740.50,745.00,731.75,732.50,732.50,739.25,741.50,731.75,732.50
2021-08-30,734.75,743.50,722.25,723.75,723.50,739.00,741.25,722.25,723.75
2021-08-31,723.00,725.50,707.00,724.00,722.25,720.00,724.50,707.00,724.00
2021-09-01,723.50,729.50,709.00,713.50,714.25,720.00,727.25,709.00,713.50
2021-09-02,714.25,721.25,705.50,717.25,717.00,718.25,721.25,713.00,717.25
2021-09-03,717.25,727.50,712.00,727.25,726.25,719.75,727.50,718.75,727.25
2021-09-07,724.00,733.25,714.00,720.00,719.75,728.50,728.50,714.00,720.00
2021-09-08,720.00,724.00,707.50,710.25,709.50,721.50,721.50,707.50,710.25
2021-09-09,711.00,711.25,691.50,692.75,692.25,700.25,703.50,691.50,692.75
2021-09-10,692.00,695.75,677.00,688.50,688.50,692.25,695.75,677.00,688.50
2021-09-13,690.00,690.00,679.00,687.00,687.00,682.25,689.25,679.00,687.00
2021-09-14,686.75,701.50,685.25,700.25,700.75,697.75,701.50,693.75,700.25
2021-09-15,700.00,714.75,695.25,711.75,712.25,705.00,714.75,699.00,711.75
2021-09-16,711.25,716.75,705.00,713.00,713.00,706.75,715.25,705.00,713.00
2021-09-17,713.75,716.00,706.50,707.25,708.75,713.25,714.75,706.50,707.25
2021-09-20,708.00,710.75,695.75,700.25,700.75,698.00,704.50,695.75,700.25
2021-09-21,700.25,701.00,686.00,689.50,690.25,698.75,700.00,686.00,689.50
2021-09-22,689.50,706.75,688.00,706.00,705.75,699.00,706.75,696.25,706.00
2021-09-23,708.50,719.50,704.00,719.00,717.75,711.00,719.50,708.25,719.00
2021-09-24,718.50,725.75,711.50,723.00,723.75,715.75,725.75,714.00,723.00
2021-09-27,723.50,728.50,720.25,723.00,722.25,723.50,727.25,720.25,723.00
2021-09-28,722.00,726.75,706.00,708.75,706.50,722.00,726.75,706.00,708.75
2021-09-29,709.25,717.75,708.25,711.00,710.25,713.00,717.50,708.75,711.00
2021-09-30,711.25,732.75,701.25,725.75,725.50,715.00,732.75,701.25,725.75
2021-10-01,725.00,758.50,722.75,757.75,755.25,737.00,758.50,737.00,757.75
2021-10-04,752.25,763.50,748.50,756.50,756.50,755.25,763.50,753.50,756.50
2021-10-05,756.25,757.00,743.75,745.00,744.75,752.75,754.25,743.75,745.00
2021-10-06,744.75,756.75,742.25,744.25,746.00,752.00,756.75,744.25,744.25
2021-10-07,746.00,752.50,739.50,741.00,741.25,751.00,752.25,739.50,741.00
2021-10-08,739.25,746.50,731.75,733.00,734.00,744.25,746.50,731.75,733.00
2021-10-11,734.00,739.50,731.00,732.00,731.75,736.25,739.25,731.00,732.00
2021-10-12,731.75,743.75,718.00,735.25,734.00,733.50,743.75,718.00,735.25
2021-10-13,736.00,737.75,712.75,717.75,718.75,730.00,732.50,712.75,717.75
2021-10-14,718.75,729.50,718.50,724.25,724.75,724.50,729.50,720.25,724.25
2021-10-15,725.00,740.50,722.25,733.50,734.00,732.00,740.50,731.75,733.50
2021-10-18,734.00,738.75,728.50,736.00,736.25,730.00,737.50,728.50,736.00
2021-10-19,736.00,745.25,735.25,738.50,736.00,743.75,745.25,735.25,738.50
2021-10-20,737.00,750.00,736.50,749.75,749.25,741.00,750.00,738.50,749.75
2021-10-21,749.75,752.50,738.25,741.75,741.25,744.75,746.50,738.25,741.75
2021-10-22,743.75,759.50,743.50,758.25,756.00,748.75,759.50,747.75,758.25
2021-10-25,759.75,767.00,753.25,760.50,759.50,763.00,765.75,755.25,760.50
2021-10-26,763.00,765.00,747.50,750.00,752.25,753.00,765.00,747.50,750.00
2021-10-27,750.50,762.75,745.00,760.75,759.75,748.75,762.75,748.25,760.75
2021-10-28,760.00,780.00,751.50,773.50,772.50,757.50,780.00,756.75,773.50
2021-10-29,773.25,780.00,763.50,773.00,772.75,768.50,773.75,763.50,773.00
2021-11-01,774.50,800.50,768.25,798.25,797.25,781.25,800.50,781.25,798.25
2021-11-02,798.50,807.00,789.75,790.00,791.50,803.25,806.75,789.75,790.00
2021-11-03,790.50,796.75,777.50,781.00,781.00,789.00,790.00,777.50,781.00
2021-11-04,782.00,794.25,772.25,774.50,773.75,784.50,794.25,772.25,774.50
2021-11-05,774.75,781.50,765.50,767.75,766.50,774.50,776.00,765.50,767.75
2021-11-08,768.25,773.00,762.50,767.75,768.00,766.00,771.50,763.25,767.75
2021-11-09,769.25,783.25,764.50,782.00,778.50,772.00,783.25,764.50,782.00
2021-11-10,783.00,803.75,778.00,803.00,803.00,783.00,803.75,783.00,803.00
2021-11-11,803.00,824.75,798.25,813.75,812.50,803.50,824.75,802.75,813.75
2021-11-12,814.25,826.75,805.50,817.00,817.00,810.50,826.75,805.50,817.00
2021-11-15,819.75,829.50,813.25,827.25,826.25,818.00,829.50,813.25,827.25
2021-11-16,827.50,827.50,810.00,811.00,810.25,818.75,823.00,810.00,811.00
2021-11-17,812.00,835.00,810.50,824.25,833.00,815.50,835.00,815.00,824.25
2021-11-18,835.50,854.00,830.00,831.50,830.75,847.50,854.00,830.00,831.50
2021-11-19,831.75,841.25,823.75,835.00,834.25,829.75,841.25,826.75,835.00
2021-11-22,838.75,859.50,836.75,858.50,857.50,852.00,859.50,847.25,858.50
2021-11-23,857.00,868.25,849.50,868.00,867.50,854.00,868.25,849.50,868.00
2021-11-24,867.50,874.75,847.00,852.25,850.25,865.00,868.75,847.00,852.25
2021-11-26,833.00,845.25,823.25,845.00,840.25,833.00,845.25,823.25,845.00
2021-11-29,853.50,855.25,818.75,822.25,822.25,841.00,842.75,818.75,822.25
2021-11-30,824.25,824.25,782.50,789.50,787.25,806.50,812.25,782.50,789.50
2021-12-01,791.75,799.00,785.50,789.25,790.50,793.75,796.75,785.50,789.25
2021-12-02,790.25,820.50,789.50,816.25,815.00,808.00,820.50,799.50,816.25
2021-12-03,818.00,822.75,796.50,805.00,803.75,812.00,822.75,796.50,805.00
2021-12-06,810.75,812.00,789.50,807.50,806.25,800.00,808.25,789.50,807.50
2021-12-07,808.50,813.50,797.50,809.75,808.50,802.00,810.50,797.50,809.75
2021-12-08,810.00,812.00,790.75,795.00,794.50,802.50,802.50,790.75,795.00
2021-12-09,796.00,796.50,770.50,778.00,776.75,781.50,786.25,770.50,778.00
2021-12-10,779.00,788.00,768.00,783.75,785.25,787.00,788.00,778.50,783.75
2021-12-13,784.75,794.00,776.00,788.25,788.75,780.00,794.00,776.50,788.25
2021-12-14,789.50,792.25,777.50,786.25,787.00,784.25,792.25,777.50,786.25
2021-12-15,787.00,787.00,751.00,756.00,756.00,778.00,779.00,751.00,756.00
2021-12-16,757.50,773.00,751.25,768.75,770.50,756.00,773.00,752.50,768.75
2021-12-17,770.00,780.25,765.25,774.75,775.00,772.00,780.25,765.25,774.75
2021-12-20,777.50,778.75,757.75,777.75,777.75,764.00,778.75,763.25,777.75
2021-12-21,778.50,799.75,772.50,796.75,799.00,777.75,799.75,777.50,796.75
2021-12-22,796.75,817.00,792.00,813.50,814.00,805.00,817.00,801.50,813.50
2021-12-23,812.50,820.50,808.25,815.25,814.75,809.75,820.25,808.25,815.25
2021-12-27,817.50,824.00,802.50,805.75,804.00,819.25,820.25,802.50,805.75
2021-12-28,805.75,808.00,781.75,784.00,783.50,792.00,795.00,781.75,784.00
2021-12-29,785.25,793.00,774.00,789.25,787.75,779.25,793.00,774.00,789.25
2021-12-30,789.50,791.75,776.00,780.50,779.75,786.00,789.75,776.00,780.50
2021-12-31,782.50,787.75,769.50,770.25,770.75,776.75,778.75,769.50,770.25
2022-01-03,774.00,782.25,752.75,758.00,758.00,773.75,774.00,752.75,758.00
2022-01-04,758.00,771.50,756.25,768.75,770.00,763.50,771.50,761.75,768.75
2022-01-05,771.00,771.50,756.00,760.25,760.75,762.50,765.50,756.00,760.25
2022-01-06,761.75,762.00,736.00,746.50,746.00,755.00,755.75,736.00,746.50
2022-01-07,748.00,760.75,735.50,760.50,758.50,740.00,760.75,737.25,760.50
2022-01-10,760.75,767.50,748.00,761.25,762.00,753.75,767.50,748.00,761.25
2022-01-11,761.75,770.50,758.25,768.75,770.25,765.50,770.50,758.75,768.75
2022-01-12,768.00,770.00,753.50,757.25,757.75,765.50,768.25,753.50,757.25
